date,tk,px,sl,tp,initial_sl,tp1_price,last_px,status,tag,entry_metric,curr_metric,sources,sector,mcap,feature_score,features,partial_tp_hit,close_date
2026-02-26,LRCX,238.62,223.86,282.88,223.86,260.75,223.86,❌ STOP LOSS,💥 BB 擠壓,,RS: 98,"['S&P500_大盤', 'NDX100_科技']",Technology,384667877376,1,"{'mss': False, 'smc': True, 'amd': False, 'ml_rsi': 57.2}",False,2026-03-03
2026-02-26,SEZL,84.7,74.69,114.74,74.69,99.71,74.69,❌ STOP LOSS,⚡ 缺口動能,RS: 92,RS: 92,['S&P600_小型'],Financial Services,5864551936,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 67.1}",False,2026-02-27
2026-02-26,3101.T,1655.97,1547.19,1982.31,1547.19,1819.14,1547.19,❌ STOP LOSS,⚡ 缺口動能,RS: 94,RS: 94,['TOPIX_Small500_小型'],Basic Materials,151251533824,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 78.9}",False,2026-03-04
2026-02-26,6525.T,6591.61,6078.39,8131.25,6078.39,7361.43,6078.39,❌ STOP LOSS,💥 BB 擠壓,,RS: 98,['TOPIX_Mid400_中型'],Technology,1843934003200,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 66.1}",False,2026-03-04
2026-02-27,CVS,78.72,75.34,88.85,75.34,83.78,75.34,❌ STOP LOSS,🏆 VCP 突破,,RS: 75,['S&P500_大盤'],Healthcare,126469914624,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 65.3}",False,2026-03-09
2026-02-27,KNX,62.55,59.14,72.8,59.14,67.68,59.14,❌ STOP LOSS,💥 BB 擠壓,,RS: 88,['S&P400_中型'],Industrials,11524752384,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 62.8}",False,2026-03-03
2026-02-27,TMDX,145.26,134.13,178.64,134.13,161.95,134.13,❌ STOP LOSS,🏆 VCP 突破,,RS: 94,['S&P600_小型'],Healthcare,2643564032,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 59.4}",False,2026-03-06
2026-03-02,RUN,12.52,12.52,20.3,9.93,15.11,13.114999771118164,✅ TRAIL EXIT,📉 極度超賣,RSI: 21,RSI: 56,['S&P600_小型'],Technology,2502381824,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 21.9}",True,2026-05-18
2026-03-02,1662.T,2623.92,2398.08,3301.42,2398.08,2962.67,2398.08,❌ STOP LOSS,⚡ 缺口動能,RS: 98,RS: 98,['TOPIX_Small500_小型'],Energy,433150984192,1,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 74.2}",False,2026-03-04
2026-03-02,7911.T,5784.63,5402.45,6931.17,5402.45,6357.9,5402.45,❌ STOP LOSS,⚡ 缺口動能,RS: 90,RS: 89,"['NK225', 'TOPIX_Mid400_中型']",Industrials,1293857587200,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 71.3}",False,2026-03-04
2026-03-06,AEO,18.2,16.39,23.62,16.39,20.01,16.39,❌ STOP LOSS,📉 極度超賣,RSI: 17,RSI: 12,['S&P600_小型'],Consumer Cyclical,0,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 17.7}",False,2026-03-24
2026-03-06,9412.T,2885.08,2728.77,3354.02,2728.77,3119.54,2728.77,❌ STOP LOSS,💥 BB 擠壓,,,['TOPIX_Small500_小型'],Communication Services,664498077696,2,"{'mss': False, 'smc': True, 'amd': True, 'ml_rsi': 51.7}",False,2026-03-09
2026-03-12,9412.T,2901.95,2901.95,3419.06,2787.04,3074.32,3419.06,✅ MAX TP,💥 BB 擠壓,,RS: 98,['TOPIX_Small500_小型'],Communication Services,662230138880,1,"{'mss': False, 'smc': False, 'amd': True, 'ml_rsi': 56.6}",True,2026-04-21
2026-03-19,NEM,98.97,98.97,118.49,92.46,105.48,118.49,✅ MAX TP,📉 極度超賣,RSI: 12,RSI: 61,['S&P500_大盤'],Basic Materials,109889568768,1,"{'mss': False, 'smc': False, 'amd': True, 'ml_rsi': 12.6}",True,2026-04-08
2026-03-19,RGLD,224.13,224.13,273.69,207.61,240.65,273.69,✅ MAX TP,📉 極度超賣,RSI: 14,RSI: 61,['S&P400_中型'],Basic Materials,18253957120,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 14.8}",True,2026-04-08
2026-03-25,8766.T,7739.32,7421.16,8693.8,7421.16,8216.55,7421.16,❌ STOP LOSS,⚡ 缺口動能,RS: 88,RS: 88,['NK225'],Financial Services,14675714506752,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 79.0}",False,2026-03-26
2026-03-25,8795.T,3900.83,3812.28,4299.29,3812.28,4033.65,3812.28,❌ STOP LOSS,🏆 VCP 突破,,,"['NK225', 'TOPIX_Mid400_中型']",Financial Services,2409170731008,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 51.9}",False,2026-03-26
2026-03-26,6367.T,20325.32,19873.0,22360.75,19873.0,21003.8,19873.0,❌ STOP LOSS,🏆 VCP 突破,,,['NK225'],Industrials,6084427776000,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 54.7}",False,2026-03-27
2026-03-27,4911.T,3176.53,3101.31,3515.02,3101.31,3289.37,3101.31,❌ STOP LOSS,🏆 VCP 突破,,,"['NK225', 'TOPIX_Mid400_中型']",Consumer Defensive,1330330337280,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 63.2}",False,2026-03-30
2026-03-27,5831.T,2783.0,2709.62,3113.22,2709.62,2893.07,2709.62,❌ STOP LOSS,🏆 VCP 突破,,,"['NK225', 'TOPIX_Mid400_中型']",Financial Services,1744980803584,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 62.6}",False,2026-03-30
2026-03-27,8795.T,3949.0,3859.89,4349.99,3859.89,4082.66,3859.89,❌ STOP LOSS,🏆 VCP 突破,,,"['NK225', 'TOPIX_Mid400_中型']",Financial Services,2409649405952,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 59.1}",False,2026-03-30
