mcap,sl,fx_entry,fx_exit,tk,days_held,sector,feature_score,px,tp1_price,entry_rs,curr_rs,status,curr_metric,date,tag,initial_sl,sources,period,close_date,features,tp,last_px,partial_tp_hit,entry_metric
254769070080,309.54,,,SNDK,21,Technology,,619.08,,100,100,✅ RS 換倉平倉,RS: 100,2026-03-02,🅱️ RS 核心,309.54,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-01,,,692.73,False,RS: 100
1466764623872,19250.32,156.633,158.579,5706.T,21,Industrials,,38500.64,,100,100,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,19250.32,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-04-01,,,30730.0,False,RS: 100
79048572928,391.62,,,LITE,21,Technology,,783.25,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,391.62,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-01,,,764.65,False,RS: 99
556998328320,2501.37,156.633,158.579,3110.T,21,Consumer Cyclical,,5002.74,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,2501.37,['TOPIX_Small500_小型'],FWD,2026-04-01,,,4174.0,False,RS: 99
168538456064,134.94,,,WDC,21,Technology,,269.88,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,134.94,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-01,,,297.65,False,RS: 99
8693424128,104.6,,,VICR,21,Technology,,209.19,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,104.6,['S&P400_中型'],FWD,2026-04-01,,,158.16,False,RS: 99
2704240279552,1480.86,156.633,158.579,5801.T,21,Industrials,,2961.73,,99,99,✅ RS 換倉平倉,RS: 100,2026-03-02,🅱️ RS 核心,1480.86,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-04-01,,,3249.0,False,RS: 99
45549096960,176.87,,,CIEN,21,Technology,,353.73,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,176.87,['S&P500_大盤'],FWD,2026-04-01,,,415.39,False,RS: 99
2705013604352,6412.78,156.633,158.579,5713.T,21,Basic Materials,,12825.57,,99,99,✅ RS 換倉平倉,RS: 98,2026-03-02,🅱️ RS 核心,6412.78,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-04-01,,,9593.0,False,RS: 99
1148129771520,206.22,,,MU,21,Technology,,412.43,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,206.22,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-01,,,367.79,False,RS: 99
55197274112,149.46,,,COHR,21,Technology,,298.91,,99,99,✅ RS 換倉平倉,RS: 99,2026-03-02,🅱️ RS 核心,149.46,['S&P500_大盤'],FWD,2026-04-01,,,247.8,False,RS: 99
2946149646336,6245.0,156.633,158.579,4004.T,21,Basic Materials,,12490.0,,99,99,✅ RS 換倉平倉,RS: 98,2026-03-02,🅱️ RS 核心,6245.0,"['NK225', 'TOPIX_Mid400_中型']",FWD,2026-04-01,,,10740.0,False,RS: 99
